Date,Open,High,Low,Close,Volume
2020-07-27 00:00:00+00:00,0.0,0.0,0.0,0.0,1797887
2020-08-03 00:00:00+00:00,0.0,0.0,0.0,0.0,221011
2020-08-10 00:00:00+00:00,0.0,0.0,0.0,0.0,18144
2020-08-17 00:00:00+00:00,0.0,0.0,0.0,0.0,19841
2020-08-24 00:00:00+00:00,0.0,0.0,0.0,0.0,55634
2020-08-31 00:00:00+00:00,0.0,0.0,0.0,0.0,219651
2020-09-07 00:00:00+00:00,0.0,0.0,0.0,0.0,15169
2020-09-14 00:00:00+00:00,0.0,0.0,0.0,0.0,9368
2020-09-21 00:00:00+00:00,0.0,0.0,0.0,0.0,5859
2020-09-28 00:00:00+00:00,0.0,0.0,0.0,0.0,28923
2020-10-05 00:00:00+00:00,0.0,0.0,0.0,0.0,13905
2020-10-12 00:00:00+00:00,0.0,0.0,0.0,0.0,1629
2020-10-19 00:00:00+00:00,0.0,0.0,0.0,0.0,1134
2020-10-26 00:00:00+00:00,0.0,0.0,0.0,0.0,729
2020-11-02 00:00:00+00:00,0.0,0.0,0.0,0.0,1337
2020-11-09 00:00:00+00:00,0.0,0.0,0.0,0.0,2295
2020-11-16 00:00:00+00:00,0.0,0.0,0.0,0.0,357
2020-11-23 00:00:00+00:00,0.0,0.0,0.0,0.0,1397
2020-11-30 00:00:00+00:00,0.0,0.0,0.0,0.0,208
2020-12-07 00:00:00+00:00,0.0,0.0,0.0,0.0,118
2020-12-14 00:00:00+00:00,0.0,0.0,0.0,0.0,362
2020-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,222
2020-12-28 00:00:00+00:00,0.0,0.0,0.0,0.0,199
2021-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,421
2021-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,2707
2021-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0,105
2021-01-25 00:00:00+00:00,0.0,0.0,0.0,0.0,29631852
2021-02-01 00:00:00+00:00,0.0,0.0,0.0,0.0,31930890
2021-02-08 00:00:00+00:00,0.0,0.0,0.0,0.0,9744618
2021-02-15 00:00:00+00:00,0.0,0.0,0.0,0.0,1150212
2021-02-22 00:00:00+00:00,0.0,0.0,0.0,0.0,4685260
2021-03-01 00:00:00+00:00,0.0,0.0,0.0,0.0,9644408
2021-03-08 00:00:00+00:00,0.0,0.0,0.0,0.0,3945665
2021-03-15 00:00:00+00:00,0.0,0.0,0.0,0.0,27219155
2021-03-22 00:00:00+00:00,0.0,0.0,0.0,0.0,5848409
2021-03-29 00:00:00+00:00,0.0,0.0,0.0,0.0,8874739
2021-04-05 00:00:00+00:00,0.0,0.0,0.0,0.0,12509355
2021-04-12 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,0.0,1.9999999949504854e-06,817210430
2021-04-19 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,1760948852
2021-04-26 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,726945529
2021-05-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999494757503e-05,9.999999974752427e-07,1.5999999959603883e-05,12835999125
2021-05-10 00:00:00+00:00,1.5999999959603883e-05,3.899999865097925e-05,1.2999999853491317e-05,1.8000000636675395e-05,52233340419
2021-05-17 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,6.000000212225132e-06,7.999999979801942e-06,15350493866
2021-05-24 00:00:00+00:00,7.999999979801942e-06,1.2000000424450263e-05,7.000000096013537e-06,7.999999979801942e-06,6902972146
2021-05-31 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,5424692989
2021-06-07 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,3715642940
2021-06-14 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,4747958897
2021-06-21 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,7.999999979801942e-06,4114950756
2021-06-28 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,3928411361
2021-07-05 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,2908488800
2021-07-12 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2191302669
2021-07-19 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,2176848435
2021-07-26 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,1964712866
2021-08-02 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,2767167667
2021-08-09 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,3435985203
2021-08-16 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,3474817359
2021-08-23 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2163709079
2021-08-30 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,2028132555
2021-09-06 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,3626979985
2021-09-13 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06,5056158974
2021-09-20 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2562610984
2021-09-27 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,2202681446
2021-10-04 00:00:00+00:00,9.000000318337698e-06,3.5000000934815034e-05,7.999999979801942e-06,2.5999999706982635e-05,70787438890
2021-10-11 00:00:00+00:00,2.5999999706982635e-05,3.199999991920777e-05,2.300000051036477e-05,2.8000000384054147e-05,26297066666
