Date,Open,High,Low,Close,Volume
2017-11-06 00:00:00+00:00,250.55299377441406,288.6709899902344,231.58200073242188,288.6709899902344,352968896
2017-11-13 00:00:00+00:00,298.7340087890625,320.9460144042969,258.3290100097656,299.3330078125,602750300
2017-11-20 00:00:00+00:00,299.3190002441406,359.8599853515625,281.8450012207031,340.1440124511719,734433496
2017-11-27 00:00:00+00:00,340.1839904785156,380.57501220703125,267.6969909667969,322.80999755859375,697020604
2017-12-04 00:00:00+00:00,323.0820007324219,372.85198974609375,288.4010009765625,291.0950012207031,834674800
2017-12-11 00:00:00+00:00,290.02899169921875,561.9949951171875,284.7030029296875,537.1829833984375,1671066992
2017-12-18 00:00:00+00:00,538.4450073242188,743.958984375,381.4750061035156,532.5020141601562,1946156000
2017-12-25 00:00:00+00:00,536.1270141601562,601.4979858398438,478.625,505.510986328125,1018255088
2018-01-01 00:00:00+00:00,508.0010070800781,955.2650146484375,489.34100341796875,880.760986328125,1768102016
2018-01-08 00:00:00+00:00,884.27197265625,896.281005859375,601.8729858398438,675.7559814453125,1443789008
2018-01-15 00:00:00+00:00,671.7319946289062,685.822998046875,397.9750061035156,487.01800537109375,1125923712
2018-01-22 00:00:00+00:00,492.5539855957031,507.23199462890625,406.74798583984375,471.98699951171875,555108408
2018-01-29 00:00:00+00:00,471.4339904785156,476.6419982910156,306.52899169921875,346.9119873046875,559963596
2018-02-05 00:00:00+00:00,343.0199890136719,511.75,262.30499267578125,434.1579895019531,727948408
2018-02-12 00:00:00+00:00,436.6619873046875,495.78399658203125,432.7229919433594,451.0220031738281,576686792
2018-02-19 00:00:00+00:00,449.5169982910156,486.8429870605469,379.89599609375,391.24798583984375,523748208
2018-02-26 00:00:00+00:00,391.6510009765625,418.3999938964844,375.41900634765625,409.2909851074219,378351700
2018-03-05 00:00:00+00:00,408.781005859375,409.7669982910156,278.9540100097656,309.6990051269531,414891996
2018-03-12 00:00:00+00:00,308.760009765625,314.98199462890625,204.00599670410156,244.38099670410156,340745100
2018-03-19 00:00:00+00:00,244.59100341796875,280.6929931640625,228.65899658203125,239.36000061035156,367629804
2018-03-26 00:00:00+00:00,238.8560028076172,240.99099731445312,174.96099853515625,182.47799682617188,354945200
2018-04-02 00:00:00+00:00,183.07200622558594,208.67300415039062,174.49200439453125,183.89999389648438,263406600
2018-04-09 00:00:00+00:00,184.2239990234375,242.0019989013672,174.96800231933594,232.17799377441406,348123900
2018-04-16 00:00:00+00:00,232.4320068359375,285.3789978027344,218.73199462890625,272.32000732421875,451242996
2018-04-23 00:00:00+00:00,272.2659912109375,327.4840087890625,267.5469970703125,293.760986328125,514462296
2018-04-30 00:00:00+00:00,293.4830017089844,311.5119934082031,271.51300048828125,291.2349853515625,455184892
2018-05-07 00:00:00+00:00,291.4410095214844,292.14300537109375,230.33700561523438,260.8420104980469,341563600
2018-05-14 00:00:00+00:00,261.0769958496094,386.3999938964844,246.85299682617188,352.18499755859375,1661481952
2018-05-21 00:00:00+00:00,351.8599853515625,352.64599609375,258.29400634765625,261.3500061035156,668845012
2018-05-28 00:00:00+00:00,263.15399169921875,269.1440124511719,221.22799682617188,253.38099670410156,474703904
2018-06-04 00:00:00+00:00,254.10400390625,255.95799255371094,201.8040008544922,203.6790008544922,401553700
2018-06-11 00:00:00+00:00,203.9149932861328,214.74099731445312,178.67599487304688,191.4459991455078,395344500
2018-06-18 00:00:00+00:00,191.25999450683594,202.6479949951172,156.68099975585938,167.50900268554688,323542700
2018-06-25 00:00:00+00:00,167.05999755859375,179.2480010986328,148.12600708007812,167.61599731445312,281872100
2018-07-02 00:00:00+00:00,165.2050018310547,191.86700439453125,163.48399353027344,172.7270050048828,310253900
2018-07-09 00:00:00+00:00,172.406005859375,185.1179962158203,152.19700622558594,178.08799743652344,384758000
