cpi_index	cpi_index_dlog	cpi_index_log	dif_dlog_m1_cpi	dif_ln_m1_cpi	gdp	gdp_dlog	gdp_log	intrates	intrates_d	m1	m1_dlog	m1_log
13.8068825	NA	2.625167199721806	NA	23.079190684513888	595.2	NA	6.3888974835188816	2.72	NA	145633333333.333	NA	25.704357884235692
13.85885703	0.0037573252715303872	2.6289245249933364	0.00285841689174271	23.082049101405628	602.6	0.012356143177319368	6.4012536266962016	2.73	0.0099999999999997872	146600000000	0.0066157421632730976	25.710973626398964
13.89860227	0.0028637539720968164	2.6317882789654332	-0.0037736721422483296	23.07827542926338	609.6	0.01154937767623565	6.4128030043724368	2.78	0.049999999999999824	146466666666.667	-0.0009099181701515136	25.710063708228812
13.93223285	0.0024167867205044936	2.6342050656859376	0.0030303443150052624	23.081305773578384	613.1	0.0057250503962054112	6.4185280547686424	2.87	0.090000000000000304	147266666666.667	0.005447131035509756	25.715510839264324
13.97656407	0.0031768662340692088	2.6373819319200068	0.0071812538470101824	23.088487027425396	622.7	0.015536807109763906	6.4340648618784064	2.89	0.020000000000000016	148800000000	0.010358120081079392	25.7258689593454
14.00255134	0.0018576196632489328	2.639239551583256	0.0072850463180449408	23.09577207374344	631.8	0.014508026489578718	6.4485728883679848	2.99	0.10000000000000008	150166666666.667	0.0091426659812938736	25.735011625326696
14.08815646	0.0060949254547142392	2.64533447703797	0.00406417251948854	23.099836246262928	645.0	0.020677428427787524	6.4692503167957728	3.38	0.38999999999999968	151700000000	0.01015909797420278	25.7451707233009
14.12637303	0.0027090009340868804	2.6480434779720568	0.00691276583906042	23.106749012101988	654.8	0.015079528701207324	6.48432984549698	3.52	0.14000000000000012	153166666666.667	0.0096217667731473008	25.754792490074044
14.18446221	0.0041036769863422864	2.6521471549583992	0.0024039381703966356	23.109152950272384	671.1	0.024588311667214312	6.5089181571641944	3.54	0.020000000000000016	154166666666.667	0.0065076151567389216	25.761300105230784
14.20739215	0.0016152481408688856	2.653762403099268	0.00527984489497868	23.114432795167364	680.8	0.014350420094969784	6.523268577259164	3.48	-0.060000000000000056	155233333333.333	0.0068950930358475656	25.768195198266632
14.23949407	0.002256973461264078	2.6560193765605324	0.01393081346260816	23.128363608629972	692.8	0.017472779989061494	6.5407413572482256	3.53	0.049999999999999824	157766666666.667	0.016187786923872238	25.784382985190504
14.30522657	0.0046055883341140632	2.6606249648946464	0.0084088690771735312	23.136772477707148	698.4	0.0080506472771668672	6.548792004525392	3.84	0.31000000000000004	159833333333.333	0.013014457411287594	25.797397442601792
14.3495578	0.0030941615051713888	2.6637191263998176	0.0043856157316954912	23.14115809343884	719.2	0.029347478632018032	6.5781394831574104	3.93	0.090000000000000304	161033333333.333	0.00747977723686688	25.80487721983866
14.44127756	0.0063714768355076504	2.6700906032353252	-0.00059230698400725144	23.140565786454832	732.4	0.018187329642945116	6.5963268128003552	3.80	-0.13000000000000034	161966666666.667	0.0057791698515003984	25.81065638969016
14.48408012	0.002959520273869032	2.6730501235091944	0.008499577901492472	23.149065364356324	750.2	0.024013024847431728	6.6203398376477872	3.92	0.1200000000000001	163833333333.333	0.011459098175361504	25.82211548786552
14.56051326	0.005263170011656992	2.6783132935208512	0.01288248915639878	23.161947853512724	773.1	0.03006856867864194	6.6504084063264288	4.38	0.46	166833333333.333	0.018145659168055772	25.840261147033576
14.69656425	0.009300448456218024	2.6876137419770692	0.0079328194717560592	23.16988067298448	797.3	0.030822613182020396	6.6812310195084496	4.59	0.20999999999999996	169733333333.333	0.017233267927974084	25.857494414961552
14.82955792	0.0090086038835401888	2.6966223458606096	0.0017347360919224286	23.171615409076404	807.2	0.012340449530949372	6.6935714690393992	4.50	-0.089999999999999856	171566666666.667	0.010743339975462618	25.868237754937012
14.95796559	0.0086216274649846272	2.705243973325594	-0.01173507617578018	23.159880332900624	820.8	0.01670800537710626	6.7102794744165048	5.37	0.87000000000000016	171033333333.333	-0.003113448710795552	25.865124306226216
15.08025862	0.008142538974532432	2.7133865123001268	-0.0052233970748081224	23.154656935825816	834.9	0.017032482783450042	6.7273119571999552	4.96	-0.41000000000000016	171533333333.333	0.0029191418997243092	25.86804344812594
15.11847519	0.0025310061436152332	2.715917518443742	0.0073308160231397856	23.161987751848956	846.0	0.013207402406267832	6.7405193596062232	4.26	-0.70000000000000016	173233333333.333	0.0098618221667550192	25.877905270292696
15.21019496	0.0060484056282832376	2.7219659240720252	0.0077106495725600688	23.169698401421512	851.1	0.0060102708766924808	6.7465296304829152	3.54	-0.71999999999999976	175633333333.333	0.013759055200843306	25.89166432549354
15.36306124	0.010000083269164684	2.7319660073411896	0.011776636112039718	23.181475037533556	866.6	0.018047878822893716	6.7645775093058088	4.42	0.87999999999999984	179500000000	0.0217767193812044	25.913441044874744
15.53121415	0.01088580770355163	2.7428518150447416	0.0053237938498758016	23.186798831383432	883.2	0.018974166217021528	6.7835516755228304	4.97	0.54999999999999984	182433333333.333	0.016209601553427432	25.929650646428172
15.68408043	0.0097943975282772656	2.7526462125730188	0.0032753111122731936	23.190074142495704	911.1	0.031100985196982124	6.8146526607198128	5.17	0.20000000000000016	184833333333.333	0.01306970864055046	25.942720355068724
15.83694671	0.0096993970259395824	2.7623456095989584	0.0072880476816985504	23.1973621901774	936.3	0.027283277225030212	6.8419359379448432	5.52	0.34999999999999964	188000000000	0.016987444707638132	25.95970779977636
